"Name","Instance","HwIds","Inf","Ver","Provider"
"Intel(R) Control Logic","ACPI\INT3472\0","ACPI\VEN_INT&DEV_3472;ACPI\INT3472;*INT3472","oem56.inf","42.18362.3.16827","Intel Corporation"
"Intel(R) Control Logic","ACPI\INT3472\1","ACPI\VEN_INT&DEV_3472;ACPI\INT3472;*INT3472","oem56.inf","42.18362.3.16827","Intel Corporation"
"Intel(R) Control Logic","ACPI\INT3472\2","ACPI\VEN_INT&DEV_3472;ACPI\INT3472;*INT3472","oem56.inf","42.18362.3.16827","Intel Corporation"
"Surface Camera Rear","ACPI\INT347A\0","ACPI\VEN_INT&DEV_347A&SUBSYS_MSHW0191;ACPI\INT347A;*INT347A","oem58.inf","42.18362.3.16827","Intel Corporation"
"Surface IR Camera Front","ACPI\INT347E\0","ACPI\VEN_INT&DEV_347E&SUBSYS_MSHW0192;ACPI\INT347E;*INT347E","oem51.inf","42.18362.3.16827","Intel Corporation"
"Intel(R) Imaging Signal Processor","PCI\VEN_8086&DEV_8A19&SUBSYS_72708086&REV_03\3&11583659&0&28","PCI\VEN_8086&DEV_8A19&SUBSYS_72708086&REV_03;PCI\VEN_8086&DEV_8A19&SUBSYS_72708086;PCI\VEN_8086&DEV_8A19&CC_048000;PCI\VEN_8086&DEV_8A19&CC_0480","oem20.inf","42.18362.3.16827","Intel Corporation"
